class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,-0.5150920377499999,2.2869717055,-0.5498096435000001,-0.45923213524999995,0.334602866,0.006179772750000007,-0.8456432340000001,-0.23261762225,-0.83105587525,-0.23300667999999994,1.3568738654999999,-0.31817098099999996
1,-0.29838489237500004,0.11315247,0.297178232875,-0.6853338070000001,-0.630159038125,-0.660468099125,-0.651311424,-0.47852117599999994,-0.521923339125,-0.055877678374999996,1.1596431256250002,2.412005625625
2,-0.8033701742,0.4576504376,0.15518287739999997,-0.19795785800000001,1.6520760308,1.9731267592,-0.8722438398,-0.6004178527999999,-0.8195410184,-0.6638478898000001,0.1471281816,-0.4277856538
3,-0.2624558768,2.0723541942,1.9621763461999997,-0.6541660314,-0.1776019196,-0.3315294288,-0.8643058536,-0.3274591042,-0.5749859996000001,-0.4833270834,0.009854606200000005,-0.368553849
4,-0.5015175055000001,0.4491954375,1.804649981,-0.832494219,-0.748233041,-0.741309697,-0.5921651915,0.867758324,1.9070811845,-0.797013361,-0.54938959,-0.2665623215
