class,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
0,12.561052631578947,1.7963157894736843,11.974736842105264,6.183684210526316,1.2673684210526317,6.297368421052633,4.6252631578947385,0.8863157894736841,3.336315789473684,10.17263157894737,2.3784210526315785,13.518947368421053
1,306.54,48.76,358.45,4.85,0.91,7.22,61.06,14.28,114.75,30.48,27.98,49.75
2,54.95,9.265,49.95,52.505,17.834999999999997,63.06,15.385000000000002,1.145,7.619999999999999,103.025,18.16,117.275
3,284.3,148.28,260.67,148.34,104.2,145.12,114.96,19.4,19.6,140.9,126.64,134.25
4,68.0,14.0,102.52,7.27,0.35,7.6,49.71,0.8,138.15,11.9,1.19,6.23
