Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,6.1,21.01,60.5,0.07,0.58,0.99,5.2,46.3,42,1.5,6.3,22.1
Australia,0.04,0.27,0.36,0.12,0.35,0.31,0,0.05,0.04,5.54,8.61,36.35
Brazil,12,71.88,87.06,0.81,7.32,8,2.3,49.17,124.27,0.9,11.88,7.68
Canada,1.9,17.5,13.98,0.05,0.42,0,0.45,2.52,6.27,3.75,8.19,21.65
China,158.81,291.9,272.55,100.6,151.49,145.8,19,112.8,16.4,135.07,142.8,136.95
Egypt,1.5,16.65,7.5,0.7,4.75,4.28,0.01,4,0.04,1.88,21.41,9
European Union,15.3,82.07,72.67,0.42,3.19,1.58,1.2,16.86,2.65,19,104.9,138.99
India,1.51,29.8,33.18,39.3,106.11,127.94,0.97,14.18,13.83,24,105.58,109.59
Indonesia,1.9,23.74,22.7,4.72,35.76,34.84,0.02,3.19,0.65,1.7,10.46,0
Japan,2,15.86,0,3.48,7.96,7.41,0.08,3.48,0.25,1.1,6.28,1.1
Kazakhstan,0.47,0.81,1.13,0.03,0.29,0.34,0.04,0.32,0.28,3.57,6.28,11.81
Mexico,4.6,44.58,27.48,0.1,0.94,0.18,0.6,6.68,0.3,1.5,7.52,3.28
Nigeria,0.2,12.56,12.45,0.45,7.33,5.01,0.01,0.76,0.7,0.8,6.2,0.07
Philippines,0.8,8.86,8.21,2.55,15.98,13.07,0,0.21,0,1.3,6.23,0
Republic of Korea,0.9,11.8,0.09,1.18,3.97,3.88,0,1.4,0.11,1.1,4.32,0.02
Russian Federation,3.8,10.78,15.24,0.13,0.82,0.72,1.05,5.72,4.76,10.26,43.68,76.06
Saudi Arabia,0.35,3.39,0.09,0.39,1.22,0,0,0.75,0,1.92,3.76,0.6
South Africa,3.73,12.52,16.95,0.06,0.91,0,0.17,1.74,1.9,0.53,3.78,2.29
Thailand,0.7,6.38,4.8,9.3,13.88,21.98,0.15,3.89,0.04,1.2,3.34,0
Turkey,0.8,9.2,6.8,0.04,0.81,0.6,0.17,3.06,0.14,5.7,24.25,17.7
Ukraine,15.36,6.61,42.11,0.02,0.06,0.03,1.2,1.38,3.41,6.38,8.15,32.15
United Kingdom,0.25,2.21,0.03,0.11,0.6,0,0.15,0.79,0,1.97,14.69,13.99
United States of America,37.71,315.99,383.94,1.19,4.68,6.09,5.58,63.47,120.71,17.82,30.64,44.79
Viet Nam,0.34,14.05,4.42,4,23.21,28.52,0.34,2.08,0.07,1.5,4.12,0
