class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,-0.5104727575051793,2.193823220231014,-0.49349471112664134,-0.45219932741338253,0.41748178645521594,0.08513771659519112,-0.8034620877743591,-0.33637096652514875,-0.8003427372217863,-0.011880392665969852,1.1758133584790968,-0.46403310152805033
1,-0.4883672214947125,0.11741429313838044,0.33946155900581937,-0.6461075570476391,-0.6065039155420913,-0.6163419926247169,-0.6276734586451683,-0.46679246944891206,-0.4335937581421109,-0.0642612286989093,1.023060819605623,2.4697049298944376
2,-0.6966426817762146,0.3337241638353415,0.15215277206929131,-0.3242361927064491,1.5931820070607998,1.9652329676966214,-0.8245582251959096,-0.6040457600054127,-0.7704942941722784,-0.6157360941913413,0.169719334127508,-0.3782979967419566
3,-0.09237553760337046,1.929186904110463,1.934403522322055,-0.5782094043133352,-0.15842310442674293,-0.3110379348605415,-0.8157194220060889,-0.3787284592089745,-0.580945519861111,-0.4950813908200932,-0.08658312003041309,-0.3664865333018471
4,-0.3696302040286874,0.37804170009407256,1.7103255933078083,-0.8424950108038478,-0.7392340398430446,-0.7274662529020539,-0.44702667585329964,0.9731041518182986,1.692460354045731,-0.7852999055957061,-0.5551968619709577,-0.2875828482683131
