,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production,class,Country/Region
0,-0.5868140192340859,-0.09575843774658818,1.1317691149781703,-0.8446516198132178,-0.8249893443748005,-0.797974603333349,-0.253836448211824,1.5870649773963652,1.9808674911346376,-0.7229460338842043,-0.551945508116666,-0.020785568794436323,3,Argentina
1,-0.4556661593125326,-0.41385704110024274,-0.40456612594195607,-0.43824569339074515,-0.42111556856765414,-0.403259590997822,-0.4636505395266852,-0.4574082059047114,-0.45668235315797023,0.3299968537600824,0.6175797120189241,2.9668747121213133,2,Australia
2,-0.49563546230738853,0.8156775769599266,1.5132051333117644,-0.797167499606633,-0.5810130048090529,-0.5781357907126861,-0.5979128518171866,0.46314313399455825,2.1605480185301307,-0.7736652034089418,-0.47498009374189193,-0.6540639563925983,3,Brazil
3,-0.5737678698900787,0.7048934221297242,0.720096384708234,-0.7849969105642202,-0.7472198520358022,-0.7911011303874096,-0.7437646332679592,-0.5118042799867591,-0.10477950913484195,-0.03060747958514344,0.22127796859061855,2.6417738894236376,2,Canada
4,0.420312486401775,1.6487906899364408,1.6858948875746758,-0.4550809549691967,0.2689351073721085,0.28786073838221493,-1.4742704553453183,-0.4244651498336957,-1.4869705498389423,-0.5732416380520317,0.021629127886245193,0.08060571048572115,1,China
5,-0.7056794549810329,1.5396714971432635,0.26959166643340315,-0.7904787221448003,-0.2277488760692928,-0.22440781676265292,-0.8935742664639772,-0.5473768830711855,-0.9120296416816076,-0.24859072222023756,2.260385719004176,0.4802375008139438,4,Egypt
6,-0.5175576360677218,0.7261783331952905,0.5189082536920231,-0.7301788561822361,-0.6766482013625308,-0.7055020135073485,-0.7132014964012292,-0.44137125283277256,-0.7021719871557451,-0.4819667763907583,1.654735970197298,2.0687756628157303,2,European Union
7,-0.962415251794497,-0.47464180061107175,-0.42328960627483625,-0.42982928891821964,1.3016904480215867,1.5868543956114807,-1.0037528029683558,-0.735529287908554,-0.7342744410544731,-0.5327991259636693,1.1786671929811128,1.2293195688794956,0,India
8,-0.654936033373192,0.7049612275213728,0.5714903508700385,-0.32600806903740503,1.8774223179366785,1.796017044196249,-0.8105699707230872,-0.6113135012045956,-0.7667363617859333,-0.7447843778559299,-0.21667030292450384,-0.8188723236196911,0,Indonesia
9,-0.5277892552995012,2.445514904167188,-0.8783024803275928,-0.1660249884803843,0.919916910541833,0.7846880428612422,-0.8387074678707159,-0.175545100765098,-0.8291873555860022,-0.5526713669527299,0.5157448708180831,-0.6976367131063234,4,Japan
10,-0.516597390141101,-0.38769128041299905,-0.3793516984527707,-0.5277962573448363,-0.485860073773402,-0.47299329017762104,-0.5332765540615577,-0.4844304311516486,-0.4894341803277856,0.43959525004165867,1.0869850839256752,2.7508508218763876,2,Kazakhstan
11,-0.28286940376891534,2.547208074292469,1.5546631944706353,-0.5936136592932066,-0.5280032637676175,-0.5866375876289786,-0.5544946751507626,-0.19491791797687388,-0.5733035772327955,-0.527914959063007,0.03237839169051065,-0.2924946165714581,1,Mexico
12,-0.7281428077645491,1.8233112677807168,1.7818882583869045,-0.5688039924889633,0.8573673493397254,0.1976487457425629,-0.8219163689075973,-0.6521582690605616,-0.6577491046842664,-0.7632125948586972,0.3346242185233297,-0.8028567020086037,1,Nigeria
13,-0.7010097036310576,0.7498151359703444,0.6655424018689675,-0.36088737391255094,1.9173057472500907,1.577183417531584,-0.8345931022905544,-0.8129691633244936,-0.8362098453908205,-0.6603890332368687,0.13242136455618037,-0.8362098453908205,0,Philippines
14,-0.3446625663975226,2.547982777586019,-0.7927005674017497,-0.2533048177552544,0.7715821095419152,0.6193191951381348,-0.8070517846214164,-0.32226066634731126,-0.7804495283117904,-0.500775807372433,0.6704235296276795,-0.8081018736862701,4,Republic of Korea
15,-0.5452390178568621,-0.22543729744238153,-0.043705535414920685,-0.5934664187529743,-0.5585159845888713,-0.5612973254457744,-0.5778279361990665,-0.4022885934379181,-0.45670841360034287,-0.09413701774480514,1.428725818603704,2.6298977218802135,2,Russian Federation
16,-0.6368044948236561,1.5862221052880163,-0.6968862948266743,-0.5316613448183742,0.21410399771908875,-0.7614742298299187,-0.7607232073298811,-0.441538644813847,-0.7614742298299187,1.3256172977749245,1.850582025301296,-0.3859629798110552,4,Saudi Arabia
17,-0.21473584303592938,1.9447835988896702,2.234806461480403,-0.6267524494148276,-0.4538896162357479,-0.6612789806756291,-0.6239903269139634,-0.4407695343566433,-0.4423807724821474,-0.5342213456358795,0.08242250268203584,-0.2639936943013395,1,South Africa
18,-0.6839361780110315,-0.07728320790700129,-0.06655249145010911,0.7991076347778128,1.17335974572641,2.477362289412587,-0.7565522592398638,-0.3949418142541806,-0.7596391776726684,-0.5905936444476539,-0.3511369717315247,-0.7691939252027779,0,Thailand
19,-0.5797763092905365,0.22061256145735125,0.021289913645296633,-0.6805994880089398,-0.595009516830577,-0.6232813172650589,-0.6644626156148292,-0.41931125020350035,-0.6753065938636715,-0.08314792448938739,2.108884821526602,1.9701077189372505,2,Turkey
20,-0.3131687517579229,0.10187373082923733,2.1566417841884458,-0.7320582912546569,-0.7190882136738083,-0.7263426638461473,-0.7155709044993407,-0.594883233450426,-0.3692258667259981,-0.35339797544089446,0.43722717743236905,1.827993208199143,2,Ukraine
