,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production,class,Country/Region
0,-0.6427580227269503,-0.11383674331033808,0.8321186218001414,-0.8385606117417539,-0.8202517982234864,-0.791771421639515,-0.08332205411322585,1.432240842676682,2.276480577130121,-0.5512139551356136,-0.5613855182013177,-0.13773991651474268,2,Argentina
1,-0.45475276028117256,-0.4156394355317433,-0.4069475855874257,-0.4359204187351511,-0.4214340021612884,-0.38376931906924544,-0.46344461022549016,-0.45909868525333136,-0.4576500435959451,0.3506920012255923,0.5723341748056913,2.9756306844095093,0,Australia
2,-0.38946831917934815,0.7881414693934051,1.5847777553064457,-0.8279529975600555,-0.5982125866111075,-0.5951696672607903,-0.5848237414697118,0.46498343438971923,2.1084641754960347,-0.8048268104976448,-0.5026649190111477,-0.6432477929958019,2,Brazil
3,-0.6205543939961571,0.7357249169460571,0.5752670019209418,-0.7763274063928017,-0.7400194110221553,-0.7845259859926251,-0.7294783801080966,-0.5338836953694525,-0.07593446343645972,0.04704423056089129,0.23912523832818247,2.6635623485616744,0,Canada
4,0.7327261781319201,1.4220299595930883,1.7310468598557467,-0.4362637938026173,0.2803578930647028,0.2950987430115868,-1.4275521434416918,-0.4518160666823573,-1.4823231914094714,-0.7989698447892473,0.04017670493932808,0.09548870152901164,3,China
5,-0.6967019007428104,1.5368919882990697,0.3236585388194972,-0.7682515657121185,-0.22385194094564345,-0.16007941347299923,-0.9191280331473987,-0.6282630907721677,-0.923794315645397,-0.27829190342229093,2.2243909430041615,0.5134206937380968,4,Egypt
6,-0.5203466926809069,0.6865139024948708,0.6729455402346124,-0.7294803829856888,-0.6795488098679381,-0.706323711394848,-0.7157311092286269,-0.4792797829065251,-0.70433368493001,-0.4807270748809527,1.546386246801642,2.1099255593443718,0,European Union
7,-0.944156416579378,-0.46567317240423756,-0.43031015737470224,-0.4849183506516037,1.321001063135616,1.5257216467419732,-0.9925099269258856,-0.7678224708878858,-0.7622894821417682,-0.4584562305614752,1.1653556840600423,1.2940578135893033,1,India
8,-0.6297549725386087,0.7643340321950346,0.5174494506301968,-0.3273037757497758,1.8883270844474875,1.786337727390788,-0.8034885669731242,-0.6009166026122316,-0.7521422010066479,-0.7563624502641665,-0.2668135363920092,-0.8196661891269454,1,Indonesia
9,-0.5474970627641853,2.3665281202745803,-0.9028114830886973,-0.11620345821933728,0.9921987586420337,0.8447097539790287,-0.8603525272008625,-0.21452946132800726,-0.8514137996455289,-0.5251502438758512,0.5273849257646847,-0.7128635225378575,4,Japan
10,-0.5204795135079613,-0.3984045418515268,-0.383456586138494,-0.5379187951731662,-0.49556625398623994,-0.4856009501775514,-0.5404101211253384,-0.48809227612972356,-0.4930749280340678,0.45612025974351456,1.1960440675386377,2.690839638841917,0,Kazakhstan
11,-0.36296501533683734,2.5304847146409335,1.5762718640319362,-0.5907809992395725,-0.5207555943514367,-0.5795769344574707,-0.5627708372843181,-0.20797545251776345,-0.5646381814146684,-0.5263576267424875,0.0627894463830282,-0.2537253837113455,3,Mexico
12,-0.730005112207993,1.7304479536358959,1.804685761657048,-0.4648700835610222,0.9429969185543927,0.2006188383428745,-0.857269925958539,-0.6822808070515383,-0.6822808070515383,-0.7644726659320992,0.34114040352576913,-0.838710473953251,3,Nigeria
13,-0.6835744376714852,0.7746294003063406,0.7011232122883847,-0.3319367274234264,1.855369029543312,1.6149839281872944,-0.8405200823584719,-0.8226401987865367,-0.8425067360886869,-0.6835744376714852,0.10115378576344829,-0.8425067360886869,1,Philippines
14,-0.19784015184516127,2.629567053591202,-0.7854841672268282,-0.1138910067906374,0.6349353670957152,0.6114296064804486,-0.8022739962377331,-0.32544285232803755,-0.7653363724137424,-0.6108699455134186,0.5308384272281057,-0.8056319620399139,4,Republic of Korea
15,-0.560124183320866,-0.1506483664204552,0.028082294199589,-0.5955383080257663,-0.5584641462253237,-0.560124183320866,-0.5888981596435976,-0.383053559796364,-0.46826879736753063,-0.14511490943531452,1.276983535745842,2.7051687836106533,0,Russian Federation
16,-0.6301041666923457,1.179731453059746,-0.7159461723722867,-0.5800296633790467,0.19970188821375182,-0.7731741761589142,-0.7731741761589142,-0.41549915249249286,-0.7731741761589142,1.880774499445932,1.6590159847727506,-0.25812214207926754,4,Saudi Arabia
17,-0.20987140743544017,1.7058072755162508,2.44482987087908,-0.5958971765216106,-0.451395551729996,-0.6371833550335005,-0.6247975014799335,-0.4245595356972675,-0.4410740071020235,-0.5133248194978308,0.021331192231143235,-0.27386498412886945,3,South Africa
18,-0.6768024265221806,-0.20888395760779735,-0.12054536760626179,1.4764507047652469,1.1548430255409066,2.115525191807605,-0.7540986927735241,-0.4490544991744719,-0.7665213069924901,-0.6422951648028308,-0.3551947472978405,-0.77342275933636,1,Thailand
19,-0.5853756635518436,0.29955948730339604,0.07832569958958621,-0.6980037736606922,-0.616214312748314,-0.652416205283301,-0.6711875569681092,-0.4352048500733786,-0.6993445844953213,-0.03832484302314993,2.1901027641304984,1.828083838780628,0,Turkey
20,-0.16950304542924088,0.13445737994642937,2.1861902512322042,-0.7774238961805816,-0.7670142925718259,-0.7774238961805816,-0.7628504511283235,-0.6358532871015024,-0.3776951176043576,-0.23300162744265152,0.4509093296526068,1.7292086528078232,0,Ukraine
