Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,1,5.68,22.68,0.03,0.39,0.85,4.8,38.27,48.9,3.2,4.56,16.07
Australia,0.06,0.32,0.33,0.15,0.26,0.13,0,0.04,0.05,8.97,6.27,27.41
Brazil,5.5,46.34,56.06,1.67,8.27,7.93,8.75,39.62,75.32,1.76,10.84,6.04
Canada,1.26,12.08,12.04,0.07,0.36,0,0.3,1.96,4.45,7.36,7.56,23.3
China,89.68,184.95,190.75,60.7,130.77,135.1,16.5,68.22,15.08,51.48,117.23,116.14
Egypt,0.8,13.04,7.04,0.35,3.58,2.99,0.18,1.74,0.04,4.5,17.46,7.18
European Union,9.2,63.98,56.8,0.47,3.08,1.89,0.8,14.13,1.23,10.7,123.04,136.13
India,2.31,17.9,21.73,23,91.15,95.98,0.44,13.34,12.74,17,80.03,80.8
Indonesia,2.5,19.31,18.33,5.5,37.59,37.19,0.15,2.74,0.91,0.9,5.95,0
Japan,1.33,16.2,0,3.31,8.55,7.75,0.05,3.35,0.22,1,6.18,0.57
Kazakhstan,0.04,0.43,0.46,0.07,0.21,0.25,0.03,0.16,0.11,3.28,6.71,9.64
Mexico,2.3,30.42,23.3,0.08,0.78,0.14,0.1,3.77,0.17,0.5,6.52,3.68
Nigeria,0.3,7.73,7.68,0.5,4.68,2.68,0.01,0.61,0.62,0.2,4.03,0.11
Philippines,0.18,6.97,6.38,3.02,12.37,10.94,0,0.06,0,0.5,3.13,0
Republic of Korea,1.53,8.21,0.07,1.39,4.8,4.29,0.05,1.61,0.1,1,4.44,0.04
Russian Federation,0.39,3.51,3.08,0.07,0.71,0.71,0.27,2.1,1.22,14.82,37.74,41.51
Saudi Arabia,0.05,2.08,0.08,0.5,1.2,0,0,0,0,2.44,2.95,1.35
South Africa,2.34,11.15,13.42,0.03,0.69,0,0.05,0.46,0.57,0.48,3.01,1.44
Thailand,0.5,4.72,4.86,6.3,13.11,23.83,0.13,2.12,0.15,0.6,1.44,0
Turkey,0.55,4.58,4.31,0.16,0.71,0.52,0.2,1.43,0.09,3.44,19.82,19.67
Ukraine,2.28,6.82,11.95,0.01,0.16,0.1,0.03,0.7,1.68,3,12.26,16.85
United States of America,28.64,284.55,315.62,1.51,4.33,7.59,5.85,48.39,90.6,23.49,29.42,58.87
Viet Nam,0.48,5.92,4.61,2.88,20.06,26,0,0.53,0.3,1.3,1.82,0
