Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,2.5,5.95,23.8,0.05,0.45,1.19,2.6,36.3,40.1,0.6,4.45,14.68
Australia,0.06,0.31,0.36,0.1,0.27,0.48,0,0.07,0.07,7.9,6.33,29.91
Brazil,6,48.16,56.27,1.75,8.32,9.26,5.93,36.5,66.38,1.32,11.17,5.7
Canada,1.36,11.68,11.36,0.07,0.37,0,0.23,1.85,4.3,5.93,9.29,25.29
China,107.45,198.69,211.32,67.3,133.92,138.97,17,72.62,14.48,50.09,122.55,118.63
Egypt,1.2,13.18,6.88,0.54,3.78,3.92,0.12,1.72,0.03,5.75,18.58,8.41
European Union,10.4,69.46,67.83,0.49,2.98,1.91,0.6,12.88,1.41,10.8,128.72,137.62
India,1.88,17.7,21.76,25,93.14,105.3,1.04,11.58,12.21,21,82,86.87
Indonesia,2.5,20.84,17.64,7.2,37.75,36.55,0.13,2.67,0.85,1,6.42,0
Japan,1.29,15.36,0,3.2,8.32,7.76,0.05,3,0.22,1.54,6.48,0.75
Kazakhstan,0.04,0.46,0.48,0.06,0.21,0.23,0.03,0.19,0.15,8.11,7.4,22.73
Mexico,1.6,28.57,17.64,0.03,0.75,0.11,0.2,3.76,0.18,0.35,7.7,3.63
Nigeria,0.6,8.59,8.88,1.45,5.62,2.77,0.01,0.67,0.68,0.18,4.12,0.17
Philippines,0.3,7,6.97,1.92,13.22,11.12,0,0.04,0,0.7,3.8,0
Republic of Korea,1.43,7.82,0.07,1.44,4.64,4.22,0.01,1.31,0.13,1.1,5.29,0.04
Russian Federation,0.93,1.56,3.93,0.04,0.72,0.7,0.15,2.42,1.76,11.03,38.48,56.24
Saudi Arabia,0.05,1.89,0.09,0.35,1.24,0,0,0,0,2.45,4.08,1.18
South Africa,1,10.11,10.92,0.05,0.77,0,0.23,0.49,0.71,0.65,3.28,2.01
Thailand,0.4,4.97,4.98,11.5,13.1,25.22,0.05,2.07,0.1,1.1,2.29,0
Turkey,0.45,4.97,4.2,0.07,0.71,0.54,0.06,1.37,0.12,3.62,21.75,21.8
Ukraine,4.17,7.32,22.84,0.01,0.14,0.11,0.17,0.78,2.26,5.8,14.15,22.32
United States of America,25.12,277.96,312.79,1.3,3.49,5.87,4.6,48.74,84.21,20.21,31.99,54.24
Viet Nam,0.45,6.06,4.84,3.18,20.45,27.56,0.02,1.09,0.27,1.55,2.17,0
