,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production,class,Country/Region
0,-0.37300607644526773,0.10126504973013557,1.8257861165040785,-0.9179725465458778,-0.8984895777475926,-0.8795632652006867,-0.26167482616935145,1.593660459678793,1.1733849898872093,-0.8489471713748098,-0.614594889544006,0.10015173722737643,4,Argentina
1,-0.4770923587789512,-0.42563071109043504,-0.4143734756585722,-0.4417124759930963,-0.43045524056123347,-0.3982917107559109,-0.48352506474001566,-0.4770923587789512,-0.475484182288685,0.22889712044787877,0.9123721288109826,2.882388329386989,1,Australia
2,-0.3662543316121071,0.6548183504580095,1.594865070111538,-0.7670174750618178,-0.5799785019384964,-0.575369240603421,-0.6323785255372478,0.3525478439578039,2.2115357182042525,-0.7216526398166023,-0.49579883439790945,-0.6753174337640027,4,Brazil
3,-0.5547532773987192,0.7430821104435374,0.7611076019413465,-0.8228824634286298,-0.7834517007771724,-0.8273888363030821,-0.7541602770932325,-0.486031091063322,0.0423411284662079,-0.09735643064181271,0.1842918740114548,2.5952013618434244,1,Canada
4,0.5902924900588749,1.7621831659097789,1.57725467953322,-0.3769964561839218,0.13070014333991842,0.13806174403301427,-1.5396216690935158,-0.30921896014748906,-1.517029170414705,-0.30134966285486947,-0.14827913809843163,-0.005997166081875319,3,China
5,-0.6758136330234373,1.7700341671795166,0.31704090426963094,-0.7629061362947591,-0.21132028224305444,-0.23309340806088494,-0.8935448912017419,-0.47550087549939724,-0.9182211004619497,-0.3492167457559806,2.1329195974766906,0.2996224036153667,0,Egypt
6,-0.47708393808311195,0.6844515577484079,0.46796127277623456,-0.7501976628910757,-0.693574223055285,-0.7271707973578542,-0.7167898333879593,-0.4517921349564588,-0.7098062758082117,-0.37837040796938354,1.644596352563965,2.107776090420733,1,European Union
7,-0.9385449114522627,-0.3879093412570963,-0.3475401645565709,-0.507863466310086,1.252693999852256,1.5904109980783656,-1.0070571713382974,-0.745003544299458,-0.7586137238727781,-0.5955222500026555,1.1832590159273522,1.2616905592312302,2,India
8,-0.653222709523076,0.5538179689623403,0.6233185485696087,-0.3695468743913683,1.8778749294395858,1.8140478665349515,-0.8269741585412469,-0.6099621446654906,-0.7879687312106372,-0.745417355940881,-0.0454472327533922,-0.8305201064803933,2,Indonesia
9,-0.5258487856459187,2.5319226604384095,-0.8649035250474665,-0.21818800359636625,0.8575782683320013,0.7131660645128235,-0.8188590542645402,-0.13656371448117882,-0.8125802627941413,-0.5091053417248547,0.4578285447165963,-0.6744468504453626,0,Japan
10,-0.5027956369625984,-0.35099402520220446,-0.3532597209001208,-0.520921202545929,-0.47560728858760254,-0.4552160273063555,-0.5254525939417617,-0.4710758971917698,-0.4710758971917698,0.29472924870394895,1.0084233935475921,2.8232456475785708,1,Kazakhstan
11,-0.14741742983690684,2.5847104969472263,1.505379447750603,-0.5947967317206584,-0.5385894849644655,-0.5887202726118808,-0.5355512554100766,-0.2355260869141822,-0.570490895285548,-0.5082071894205774,-0.03348382154732666,-0.33730677698620715,3,Mexico
12,-0.7030989320635527,1.8884918295064121,1.793861129498878,-0.5998654411462429,0.765827615780668,0.20019411346290814,-0.8084831207083064,-0.6686877684244493,-0.6708384661518934,-0.685893350244001,0.2840713248332223,-0.7955789343436427,3,Nigeria
13,-0.6408281524692347,0.7121383528943829,0.6774469040389055,-0.46351630276346145,1.8839384031238409,1.6006249041374423,-0.8470495428879058,-0.8123580940324285,-0.8470495428879058,-0.654319271468587,0.23802188520285872,-0.8470495428879058,2,Philippines
14,-0.30303064074172525,2.5923413681565703,-0.7798750829654967,-0.2584336785193581,0.8873651970399199,0.5580337837055168,-0.8038888318544636,-0.3373359962973922,-0.7730140118543632,-0.4608352762977935,0.4688398592607825,-0.7901666896321967,0,Republic of Korea
15,-0.534735871055371,-0.27053186010328456,-0.06347419818676049,-0.5781827528563808,-0.5519580584359515,-0.5558721919315379,-0.5492181649890409,-0.4114406659443973,-0.4368825336657093,0.039858926096722216,1.1279880378697598,2.784449333201952,1,Russian Federation
16,-0.5371979706096355,1.8809946851495596,-0.6462411407632331,-0.5692694912430466,0.13630396269199718,-0.6975555737766909,-0.6975555737766909,-0.3960832798226268,-0.6975555737766909,1.2716357931147493,1.6436654324623179,-0.6911412696500087,0,Saudi Arabia
17,0.06345623814136452,1.5864059535341126,2.5116969153684776,-0.6242113638444864,-0.48199738332908787,-0.6476136644356278,-0.5882078244734994,-0.45139437486374895,-0.4099903045871139,-0.5180009227000748,-0.06795668056273786,-0.3721865882475776,3,South Africa
18,-0.6559780163757221,-0.012792083002646773,-0.00818693312169393,0.06242536505291575,1.3273065323546196,2.595257799576959,-0.745010914074143,-0.30291652550267356,-0.7419408141535077,-0.4717720211376098,-0.2983113756217207,-0.7480810139947781,2,Thailand
19,-0.5915720167791754,0.3725796205995299,0.022776880900363866,-0.7044116102305193,-0.6179012552511556,-0.6492455867654178,-0.6730672787162572,-0.3897145218273268,-0.6993965171882374,-0.09633157885383253,2.0476206967217023,1.9786631673903252,1,Turkey
20,-0.2805374514050603,0.06894335957311165,1.955492552168244,-0.704444731387843,-0.6925796421262383,-0.7012087979528598,-0.6915009976479107,-0.5804006163801585,-0.28485202931837106,-0.44125547867588627,0.23613325371390387,2.1162105794390698,1,Ukraine
