Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,10,18.52,49.5,0.21,0.56,0.9,12,45.33,37.78,1.45,5.66,18.5
Australia,0.05,0.37,0.44,0.27,0.34,0.54,0.01,0.05,0.06,4.44,8.69,20.94
Brazil,17,59.09,97.84,0.48,8.19,8.38,6.03,46.63,123.26,2.35,11.66,4.26
Canada,2.42,13.94,14.1,0.04,0.39,0,0.65,3.03,7.72,6.48,8.98,30.38
China,181.31,273.64,259.07,105.1,145.1,145.68,13.5,110.44,15.28,111.06,123.12,134.33
Egypt,1.7,18.55,8.54,1.1,4.9,4.75,0.2,3.08,0.03,3.95,21.05,8.42
European Union,15,76.54,65.07,0.53,3.53,1.75,2.3,16.34,2.67,20.23,127.41,151.95
India,3.13,27,28.75,21.8,98.12,112.76,0.16,11.52,10.93,18,95.11,98.51
Indonesia,2.5,19.52,20.5,6.5,38.19,37.29,0.05,3.11,0.6,1.2,11.07,0
Japan,1.62,16.23,0,3.09,8.23,7.54,0.22,3.48,0.25,1.7,6.32,0.91
Kazakhstan,0.12,0.79,0.78,0.04,0.24,0.33,0.02,0.26,0.26,3.64,6.79,14.8
Mexico,6,41.97,27.76,0.11,0.85,0.19,0.89,4.84,0.43,1.25,7.5,3.5
Nigeria,0.5,12.55,12.11,0.98,7.33,4.7,0.01,0.66,0.65,0.58,5.09,0.07
Philippines,1.07,8.09,7.91,1.99,14.17,12.7,0,0.18,0,1,5.63,0
Republic of Korea,1.46,9.9,0.07,1.59,4.93,3.97,0,1.36,0.09,1,3.71,0.04
Russian Federation,1.2,7.95,13.24,0.09,0.76,0.66,0.83,4.35,3.7,15.88,43.68,86
Saudi Arabia,0.25,4.02,0.08,0.2,1.3,0,0,0.47,0,3.07,3.65,0.01
South Africa,3.95,12.41,17.55,0.13,0.92,0,0.33,1.09,1.32,0.72,3.22,1.53
Thailand,0.6,4.79,4.82,5.28,13.52,21.78,0.02,2.9,0.04,1.8,2.93,0
Turkey,1,8.69,5.9,0.1,0.79,0.54,0.35,2.61,0.14,4.95,22.05,21.5
Ukraine,3.94,7.18,24.67,0.01,0.12,0.04,0.13,1.16,3.9,2.45,8.73,26.16
United States of America,54.37,313.98,371.1,0.93,4.3,5.66,11.92,58.88,120.07,29.91,29.25,47.38
Viet Nam,1.25,14.4,5.11,3.62,22.12,27.78,0.29,1.67,0.1,1.09,4.69,0
