class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,-0.7169761332603851,0.3727870370394547,0.13883846614019246,-0.26157466846634053,1.556122850240343,1.9561980799920504,-0.8335552284457309,-0.6021535951393135,-0.7763951068456809,-0.6030401460887156,0.16270369856164962,-0.39295525372752393
1,-0.44776249753294545,0.4829189781251282,1.28319151009261,-0.8440439889250387,-0.7414265482864644,-0.7252756455786873,-0.46086830993982075,0.9674854689129346,2.0873439322706173,-0.7631280082059704,-0.5409748340729292,-0.2974600568594344
2,-0.4921430593749657,0.1515062457626876,0.42102037822720045,-0.6423946683817466,-0.5992229950828445,-0.612160311394278,-0.6253771425384212,-0.4431976682226914,-0.4373747427550762,-0.12184517403425191,1.0895794447909581,2.311609693003429
3,-0.18052622225490084,2.040073206585798,1.8493274646672462,-0.5814303165201229,-0.1588874403514126,-0.31493942370820766,-0.7947960240897014,-0.36282634796599467,-0.5645891659769848,-0.5126509028030084,-0.059390019827061234,-0.35936480775564983
4,-0.555372906399147,2.216925096216903,-0.49386336350442717,-0.4945919493890783,0.38753407387479905,0.0127349212783959,-0.763706026624132,-0.2415511247399432,-0.7646472384405745,-0.11004885823796973,1.2364301704339922,-0.4298427944688188
