class,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
0,-0.713575732098448,0.15988012484775777,0.10615438167312027,-0.10752626075145658,1.5858394980243695,2.018767760762521,-0.7834457277683156,-0.6146685609455503,-0.7093761786592918,-0.5779592521379745,-0.013471426305519984,-0.35061862664121124
1,-0.4864158182392918,0.025701592431509167,0.2818596277423586,-0.6211031106383139,-0.5835722773299865,-0.5933807919479398,-0.6166679188809214,-0.49570746686083067,-0.4845651137685239,0.06452732617538494,1.0948134944691716,2.4145104568473834
2,-0.3780377888837346,1.9508724251635798,1.869876021529734,-0.582077049442119,-0.058460194169008196,-0.2668930602316068,-0.8099670575182356,-0.4177905071009803,-0.6039564923595463,-0.640600704261913,0.1536016381975202,-0.21656723092369096
3,-0.5814826505540267,1.670560855434701,-0.5277590583459926,-0.4492421044713866,0.4490340923724374,0.1457558499056698,-0.8428667024900587,-0.48849853911910684,-0.8259971751925183,0.05967353616079729,1.6049984633530403,-0.21417656705355637
4,-0.62154804057796,0.3912589317329058,1.1789341929288888,-0.7961622674577604,-0.6430791909944684,-0.5976244937725521,-0.619582514908366,1.1909993350427661,1.9555419363210846,-0.7863058826721208,-0.44467736101585176,-0.207754644626565
