class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,175.296,270.868,261.124,102.16,145.444,144.898,14.66,104.684,15.062,105.524,124.024,133.054
1,1.764315789473684,11.486947368421054,10.827157894736844,1.4603157894736842,6.238421052631579,6.411052631578947,0.9297894736842104,4.375789473684211,3.658315789473684,2.635263157894737,9.284842105263158,11.55073684210526
2,8.297,53.148,46.08,12.74,50.912,57.101,1.222,14.260000000000002,7.0200000000000005,17.358,111.83500000000001,123.207
3,52.382,309.33,362.322,1.24,4.254,6.38,12.9,58.26,112.206,29.192,30.696,54.044
4,13.298,58.31,85.444,0.446,7.704,7.878,7.082,45.588,115.71,1.852,11.858,5.436
