class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,-0.7012298429635866,0.17060100630971003,0.12448529835159461,-0.2010033193621516,1.6339220407034307,2.0313734320382126,-0.7745387345868553,-0.5966904255640575,-0.6896094809004338,-0.6085091891564021,-0.04295918333215981,-0.34584160153730165
1,-0.5804535632951244,0.35502524297067156,0.10362618861663771,-0.6309137095058214,-0.46138249174324275,-0.6084781094285321,-0.6819968224118768,-0.5441590897460254,-0.5788468864465549,0.2386576451246492,1.4882895426720617,1.9006320531931575
2,-0.3527711883424419,1.8985058316313328,1.93057299659345,-0.6341524823024002,-0.06015690837421397,-0.21885443701201807,-0.810057373815838,-0.4222839886555031,-0.5929060971143915,-0.6176762097044725,0.11113151286037937,-0.23135165576388372
3,-0.678435107600672,0.2778454992295548,0.9921449577973531,-0.7843871611658865,-0.6419881650180763,-0.634662710001829,-0.4973251684851636,1.1425446196270137,2.178805793568827,-0.68547670599997,-0.4630776242504616,-0.2059882277006897
4,-0.4253856717518648,2.3890858509790878,-0.844197324647148,-0.25004562819968357,0.9463061807869113,0.7657124428780937,-0.8429589078602091,-0.2033394003616991,-0.8158905435804,-0.5617950585557584,0.6342329086189276,-0.7917248483062571
