class,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
0,-0.4855113992455329,0.09456139155087127,0.3967391237800886,-0.6381794000256072,-0.5988021678906614,-0.6135775496008649,-0.628627509470557,-0.4587992770530835,-0.44461968610555214,-0.07591227687320785,0.9956218502922878,2.4571069006418194
1,-0.7302853435669338,0.33996620978747094,0.1163688196852068,-0.21615208134349556,1.5747759160394301,1.936360795892043,-0.8169928087399789,-0.6039699371445919,-0.7589979435414276,-0.6521022661466062,0.2193792541063663,-0.4083506150274845
2,-0.1633297752705935,2.050533237724965,1.7899134623134692,-0.5900989960405176,-0.1203067329064172,-0.296188177989931,-0.8302848104346623,-0.36869459746195743,-0.5878104471892964,-0.5609381447052078,-0.034335657528170825,-0.28845936051167986
3,-0.5888641048762471,0.3985879562834794,1.066893142242912,-0.83333252092885,-0.7186622139004302,-0.7167131393604818,-0.2364595116413148,1.0312701368069184,2.189611144624477,-0.7673581411636993,-0.5434050250811775,-0.28156772300558724
4,-0.5531099854201293,2.019149460506981,-0.5287289686263729,-0.36594128943299753,0.43250935074186125,0.14219377994834173,-0.8292285235154202,-0.3596687392177725,-0.8277783996636117,0.03481305847189742,1.2789958226551703,-0.44320556644794695
