Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,5,17.34,39.8,0.25,0.55,0.95,16.8,48.9,55,1.3,5.43,18.4
Australia,0.06,0.34,0.4,0.15,0.28,0.18,0.01,0.04,0.05,5.97,7.81,31.82
Brazil,9,56.27,63.35,0.29,7.78,7.21,12.81,44.79,115.03,3.05,11.42,6.83
Canada,2.5,12.95,13.89,0.04,0.38,0,0.35,2.69,6.6,6.93,10.34,32.14
China,192.44,266.79,263.61,100.1,145.63,144.6,14.7,106.98,13.6,96.36,119.23,133.27
Egypt,1.4,16.12,7.82,1.3,4.91,5.42,0.15,2,0.04,4.58,20.91,9.34
European Union,10.5,73.74,63.09,0.64,3.22,1.78,1.67,16.07,2.48,12.9,126.71,144.64
India,2.05,25.5,25.9,19.47,97.49,109.7,0.94,12.18,13.16,13.5,104.06,92.29
Indonesia,1,22.49,20.37,7.1,38.74,37.26,0.08,3.05,0.54,1.13,9.8,0
Japan,1.76,14.92,0,3.12,8.57,7.75,0.23,3.48,0.24,1.45,6.34,0.79
Kazakhstan,0.16,0.76,0.76,0.04,0.23,0.3,0.02,0.24,0.23,4.04,6.96,14.99
Mexico,5.1,39.8,28.25,0.1,0.84,0.17,0.43,4.79,0.52,1,7.36,3.86
Nigeria,0.3,11.38,10.81,0.9,7.18,4.69,0.01,0.77,0.76,0.1,4.5,0.06
Philippines,0.6,7.94,7.22,2.35,13.49,12.13,0,0.06,0,0.8,5.45,0
Republic of Korea,1.29,9.9,0.07,2.26,4.68,4.2,0.01,1.41,0.07,0.9,4.36,0.04
Russian Federation,1.6,8.89,15.31,0.11,0.77,0.72,0.18,4.26,3.13,14.05,40.15,73.35
Saudi Arabia,0.21,3.5,0.09,0.41,1.33,0,0,0.6,0,3.28,3.62,0.01
South Africa,1.09,10.99,8.21,0.1,0.89,0,0.09,1.01,0.74,0.34,3.23,1.91
Thailand,0.6,4.2,4.62,8.23,13.13,21.09,0.1,2.83,0.06,1.6,3.72,0
Turkey,0.9,7.82,6.4,0.07,0.78,0.55,0.2,2.45,0.16,4.09,21.2,20.6
Ukraine,4.16,7.28,28.07,0.01,0.11,0.04,0.14,1.4,4.28,2.72,9.31,26.1
United States of America,58.25,313.83,384.78,1.46,4.23,7.12,8.21,55.51,116.92,32.13,31.86,62.83
Viet Nam,1.66,13.69,5.25,3.53,21.93,28.06,0.3,1.81,0.15,0.93,4.78,0
