class,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
0,1.9884005450973892,-0.2716169668898837,1.9031908073334691,-0.16148663642903838,-0.606975265410665,-0.306584425021953,-0.3180356443304048,-0.8031257624834067,-0.5761877446957165,-0.012981325378815346,-0.4918878560081022,-0.3427097257828732
1,0.1319429599788657,-0.47824317222662616,0.30225559740913943,-0.5599849778158023,-0.611430672253328,-0.593304668585729,-0.4201595354976891,-0.5893769184631852,-0.4703447155826982,1.126196167798861,-0.1739655888833968,2.336415524121589
2,0.4950258947892229,-0.7405666392520993,0.1513915348367994,1.5446945076095502,-0.2742794379911115,1.9067870609384148,-0.585727324754262,-0.8406576118982457,-0.791460869768492,0.13255097752006112,-0.6085114567418877,-0.38924663528794967
3,2.1725136067716946,-0.549548924223596,-0.5110374652802734,0.3212974573405584,-0.5040507021452764,0.026585516840043594,-0.21828865454963645,-0.7792146382191687,-0.7875203965030844,1.294574800421001,-0.10962980641138459,-0.3556807940408778
4,0.4911929896664041,-0.45221609916919747,1.7089199444603538,-0.7298970015232314,-0.8156987696202351,-0.7197684308201895,0.8480081858797883,-0.5252331012900415,1.797592131896443,-0.5380483474533742,-0.7367591900261602,-0.32809231200055994
